CVE_DIVISION,División,Entidad,ENTIDAD (entidades.shp),entidad_nacimiento,fecha,Geometría,masa_aseg_H,masa_aseg_M,masa_aseg_NB,masa_puestos_H,masa_puestos_M,masa_puestos_NB,Nivel Agregación,NOTA,NUM_EDO,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,Rango_edad_2,SalarioFem,SalarioMasc,SalarioNB,TOTAL
7,Transportes y comunicaciones,EXTRANJERO/EXTRANJERA,,Extranjero/Extranjera,202512,,93034.039999996,11206.960000000,,881.76,0,,subdel,1,,371,331,40,0,2,2,0,0,75 años y más,,440.88,,2
7,Transportes y comunicaciones,AGUASCALIENTES,AGUASCALIENTES,Aguascalientes,202512,Polygon,124937.369999995,9241.620000000,,373.82,0,,subdel,1,1,476,443,33,0,1,1,0,0,75 años y más,,373.82,,1
7,Transportes y comunicaciones,BAJA CALIFORNIA,BAJA CALIFORNIA,Baja California,202512,MultiPolygon,226462.589999991,24979.429999999,,908.69,0,,subdel,1,2,895,806,89,0,3,3,0,0,75 años y más,,302.896666667,,3
7,Transportes y comunicaciones,BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,Baja California Sur,202512,MultiPolygon,63393.519999997,5352.160000000,,0,0,,subdel,1,3,245,226,19,0,0,0,0,0,75 años y más,,,,0
7,Transportes y comunicaciones,CAMPECHE,CAMPECHE,Campeche,202512,MultiPolygon,88216.459999996,7358.720000000,,337.89,0,,subdel,1,4,340,314,26,0,1,1,0,0,75 años y más,,337.89,,1
7,Transportes y comunicaciones,COAHUILA DE ZARAGOZA,COAHUILA DE ZARAGOZA,Coahuila de Zaragoza,202512,Polygon,170552.869999993,17436.739999999,,2448.25,0,,subdel,1,5,667,605,62,0,7,7,0,0,75 años y más,,349.75,,7
7,Transportes y comunicaciones,COLIMA,COLIMA,Colima,202512,MultiPolygon,77708.499999997,10064.280000000,,982.11,0,,subdel,1,6,313,277,36,0,3,3,0,0,75 años y más,,327.37,,3
7,Transportes y comunicaciones,CHIAPAS,CHIAPAS,Chiapas,202512,MultiPolygon,216676.299999991,13743.639999999,,1659.46,0,,subdel,1,7,821,772,49,0,5,5,0,0,75 años y más,,331.892,,5
7,Transportes y comunicaciones,CHIHUAHUA,CHIHUAHUA,Chihuahua,202512,Polygon,292492.089999988,46669.519999998,,1712.34,292.54,,subdel,1,8,1211,1044,167,0,6,5,1,0,75 años y más,292.54,342.468,,6
7,Transportes y comunicaciones,DURANGO,DURANGO,Durango,202512,Polygon,146998.039999994,14328.719999999,,899.36,0,,subdel,1,10,575,524,51,0,3,3,0,0,75 años y más,,299.786666667,,3
7,Transportes y comunicaciones,GUANAJUATO,GUANAJUATO,Guanajuato,202512,Polygon,394553.599999984,30554.079999999,,1730.73,0,,subdel,1,11,1511,1402,109,0,5,5,0,0,75 años y más,,346.146,,5
7,Transportes y comunicaciones,GUERRERO,GUERRERO,Guerrero,202512,MultiPolygon,111179.979999996,12137.550000000,,1165.77,0,,subdel,1,12,437,394,43,0,3,3,0,0,75 años y más,,388.59,,3
7,Transportes y comunicaciones,HIDALGO,HIDALGO,Hidalgo,202512,Polygon,72393.559999997,6746.160000000,,0,0,,subdel,1,13,281,257,24,0,0,0,0,0,75 años y más,,,,0
7,Transportes y comunicaciones,JALISCO,JALISCO,Jalisco,202512,MultiPolygon,855452.859999967,91864.359999996,,5989.5,0,,subdel,1,14,3359,3033,326,0,17,17,0,0,75 años y más,,352.323529412,,17
7,Transportes y comunicaciones,MÉXICO,MÉXICO,México,202512,Polygon,1797234.26999993,184042.979999993,,4174.34,419.84,,subdel,1,15,7052,6397,655,0,13,12,1,0,75 años y más,419.84,347.861666667,,13
7,Transportes y comunicaciones,MICHOACÁN DE OCAMPO,MICHOACÁN DE OCAMPO,Michoacán de Ocampo,202512,MultiPolygon,176344.219999993,11581.940000000,,1390.39,0,,subdel,1,16,664,623,41,0,3,3,0,0,75 años y más,,463.463333333,,3
7,Transportes y comunicaciones,MORELOS,MORELOS,Morelos,202512,Polygon,206666.999999992,20572.249999999,,352.13,0,,subdel,1,17,809,736,73,0,1,1,0,0,75 años y más,,352.13,,1
7,Transportes y comunicaciones,NAYARIT,NAYARIT,Nayarit,202512,MultiPolygon,106120.329999996,7262.540000000,,0,0,,subdel,1,18,405,379,26,0,0,0,0,0,75 años y más,,,,0
7,Transportes y comunicaciones,NUEVO LEÓN,NUEVO LEÓN,Nuevo León,202512,Polygon,371620.049999985,45340.239999998,,3668.57,601.8,,subdel,1,19,1481,1320,161,0,10,8,2,0,75 años y más,300.9,458.57125,,10
7,Transportes y comunicaciones,OAXACA,OAXACA,Oaxaca,202512,MultiPolygon,131732.739999995,16225.359999999,,0,0,,subdel,1,20,527,469,58,0,0,0,0,0,75 años y más,,,,0
