entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,TOTAL
Extranjero/Extranjera,subdel,75 años y más,202601,69,61,8,0,81,80,1,0,81
Aguascalientes,subdel,75 años y más,202601,0,0,0,0,1,1,0,0,1
Aguascalientes,subdel,75 años y más,202601,71,65,6,0,39,39,0,0,39
Baja California,subdel,75 años y más,202601,0,0,0,0,7,6,1,0,7
Baja California,subdel,75 años y más,202601,143,125,18,0,265,257,8,0,265
Baja California Sur,subdel,75 años y más,202601,0,0,0,0,1,1,0,0,1
Baja California Sur,subdel,75 años y más,202601,28,28,0,0,34,30,4,0,34
Campeche,subdel,75 años y más,202601,77,69,8,0,22,22,0,0,22
Coahuila de Zaragoza,subdel,75 años y más,202601,0,0,0,0,5,4,1,0,5
Coahuila de Zaragoza,subdel,75 años y más,202601,130,118,12,0,165,158,7,0,165
Colima,subdel,75 años y más,202601,0,0,0,0,2,2,0,0,2
Colima,subdel,75 años y más,202601,56,50,6,0,23,23,0,0,23
Chiapas,subdel,75 años y más,202601,0,0,0,0,6,5,1,0,6
Chiapas,subdel,75 años y más,202601,136,129,7,0,126,119,7,0,126
Chihuahua,subdel,75 años y más,202601,0,0,0,0,14,12,2,0,14
Chihuahua,subdel,75 años y más,202601,228,183,45,0,178,167,11,0,178
Ciudad de México,subdel,75 años y más,202601,1,1,0,0,0,0,0,0,0
Ciudad de México,subdel,75 años y más,202601,3,2,1,0,22,21,1,0,22
Ciudad de México,subdel,75 años y más,202601,1515,1309,206,0,501,463,38,0,501
Durango,subdel,75 años y más,202601,0,0,0,0,2,2,0,0,2
Durango,subdel,75 años y más,202601,116,104,12,0,70,65,5,0,70
Guanajuato,subdel,75 años y más,202601,1,1,0,0,0,0,0,0,0
Guanajuato,subdel,75 años y más,202601,0,0,0,0,5,4,1,0,5
Guanajuato,subdel,75 años y más,202601,274,250,24,0,206,200,6,0,206
Guerrero,subdel,75 años y más,202601,0,0,0,0,4,4,0,0,4
Guerrero,subdel,75 años y más,202601,64,60,4,0,74,67,7,0,74
Hidalgo,subdel,75 años y más,202601,0,0,0,0,2,2,0,0,2
Hidalgo,subdel,75 años y más,202601,54,44,10,0,20,20,0,0,20
Jalisco,subdel,75 años y más,202601,0,0,0,0,4,4,0,0,4
Jalisco,subdel,75 años y más,202601,586,516,70,0,601,576,25,0,601
México,subdel,75 años y más,202601,0,0,0,0,21,21,0,0,21
México,subdel,75 años y más,202601,1196,1044,152,0,458,439,19,0,458
Michoacán de Ocampo,subdel,75 años y más,202601,0,0,0,0,6,6,0,0,6
Michoacán de Ocampo,subdel,75 años y más,202601,157,141,16,0,67,64,3,0,67
Morelos,subdel,75 años y más,202601,0,0,0,0,3,3,0,0,3
Morelos,subdel,75 años y más,202601,117,104,13,0,50,47,3,0,50
Nayarit,subdel,75 años y más,202601,0,0,0,0,5,5,0,0,5
Nayarit,subdel,75 años y más,202601,85,82,3,0,57,55,2,0,57
Nuevo León,subdel,75 años y más,202601,0,0,0,0,5,5,0,0,5
Nuevo León,subdel,75 años y más,202601,218,182,36,0,506,476,30,0,506
Oaxaca,subdel,75 años y más,202601,0,0,0,0,8,7,1,0,8
Oaxaca,subdel,75 años y más,202601,108,94,14,0,52,49,3,0,52
Puebla,subdel,75 años y más,202601,0,0,0,0,8,8,0,0,8
Puebla,subdel,75 años y más,202601,259,226,33,0,138,132,6,0,138
Querétaro,subdel,75 años y más,202601,0,0,0,0,2,2,0,0,2
Querétaro,subdel,75 años y más,202601,88,80,8,0,83,80,3,0,83
Quintana Roo,subdel,75 años y más,202601,0,0,0,0,8,6,2,0,8
Quintana Roo,subdel,75 años y más,202601,127,111,16,0,90,88,2,0,90
San Luis Potosí,subdel,75 años y más,202601,0,0,0,0,8,8,0,0,8
San Luis Potosí,subdel,75 años y más,202601,155,132,23,0,74,72,2,0,74
Sinaloa,subdel,75 años y más,202601,0,0,0,0,15,14,1,0,15
Sinaloa,subdel,75 años y más,202601,195,172,23,0,118,114,4,0,118
Sonora,subdel,75 años y más,202601,0,0,0,0,4,4,0,0,4
Sonora,subdel,75 años y más,202601,123,101,22,0,122,116,6,0,122
Tabasco,subdel,75 años y más,202601,0,0,0,0,1,1,0,0,1
Tabasco,subdel,75 años y más,202601,95,83,12,0,45,42,3,0,45
Tamaulipas,subdel,75 años y más,202601,0,0,0,0,9,9,0,0,9
Tamaulipas,subdel,75 años y más,202601,213,186,27,0,161,149,12,0,161
Tlaxcala,subdel,75 años y más,202601,42,40,2,0,11,11,0,0,11
Veracruz,subdel,75 años y más,202601,1,1,0,0,0,0,0,0,0
Veracruz,subdel,75 años y más,202601,1,1,0,0,0,0,0,0,0
Veracruz,subdel,75 años y más,202601,0,0,0,0,9,7,2,0,9
Veracruz,subdel,75 años y más,202601,238,214,24,0,162,154,8,0,162
Yucatán,subdel,75 años y más,202601,0,0,0,0,5,3,2,0,5
Yucatán,subdel,75 años y más,202601,130,114,16,0,111,108,3,0,111
