entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_NB,PTPD_Aseg_M,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,TOTAL
Extranjero/Extranjera,subdel,75 años y más,202602,325,280,0,45,3,3,0,0,3
Aguascalientes,subdel,75 años y más,202602,359,328,0,31,1,1,0,0,1
Baja California,subdel,75 años y más,202602,563,494,0,69,1,1,0,0,1
Baja California Sur,subdel,75 años y más,202602,169,160,0,9,0,0,0,0,0
Campeche,subdel,75 años y más,202602,325,295,0,30,0,0,0,0,0
Coahuila de Zaragoza,subdel,75 años y más,202602,426,371,0,55,3,3,0,0,3
Colima,subdel,75 años y más,202602,246,221,0,25,0,0,0,0,0
Chiapas,subdel,75 años y más,202602,643,592,0,51,1,1,0,0,1
Chihuahua,subdel,75 años y más,202602,783,641,0,142,3,3,0,0,3
Ciudad de México,subdel,75 años y más,202602,6162,5388,0,774,41,38,3,0,41
Durango,subdel,75 años y más,202602,430,373,0,57,2,2,0,0,2
Guanajuato,subdel,75 años y más,202602,1104,1016,0,88,2,2,0,0,2
Guerrero,subdel,75 años y más,202602,366,334,0,32,2,2,0,0,2
Hidalgo,subdel,75 años y más,202602,206,176,0,30,1,1,0,0,1
Jalisco,subdel,75 años y más,202602,2387,2104,0,283,9,9,0,0,9
México,subdel,75 años y más,202602,5902,5255,0,647,3,2,1,0,3
Michoacán de Ocampo,subdel,75 años y más,202602,572,529,0,43,1,1,0,0,1
Morelos,subdel,75 años y más,202602,655,587,0,68,0,0,0,0,0
Nayarit,subdel,75 años y más,202602,325,306,0,19,0,0,0,0,0
Nuevo León,subdel,75 años y más,202602,866,765,0,101,8,7,1,0,8
Oaxaca,subdel,75 años y más,202602,477,417,0,60,0,0,0,0,0
Puebla,subdel,75 años y más,202602,1190,1088,0,102,1,1,0,0,1
Querétaro,subdel,75 años y más,202602,349,332,0,17,1,1,0,0,1
Quintana Roo,subdel,75 años y más,202602,632,563,0,69,0,0,0,0,0
San Luis Potosí,subdel,75 años y más,202602,523,459,0,64,5,5,0,0,5
Sinaloa,subdel,75 años y más,202602,799,730,0,69,2,2,0,0,2
Sonora,subdel,75 años y más,202602,428,375,0,53,2,2,0,0,2
Tabasco,subdel,75 años y más,202602,410,365,0,45,0,0,0,0,0
Tamaulipas,subdel,75 años y más,202602,771,660,0,111,3,3,0,0,3
Tlaxcala,subdel,75 años y más,202602,214,206,0,8,0,0,0,0,0
Veracruz,subdel,75 años y más,202602,916,827,0,89,0,0,0,0,0
Yucatán,subdel,75 años y más,202602,560,485,0,75,2,2,0,0,2
Zacatecas,subdel,75 años y más,202602,220,204,0,16,2,2,0,0,2
Ciudad de México,subdel,Entre 0 y 5 años,202602,1,1,0,0,1,1,0,0,1
Veracruz,subdel,Entre 0 y 5 años,202602,0,0,0,0,1,1,0,0,1
Ciudad de México,subdel,Entre 10 y 15 años,202602,1,1,0,0,0,0,0,0,0
Extranjero/Extranjera,subdel,Entre 15 y 20 años,202602,204,183,0,21,13,13,0,0,13
Aguascalientes,subdel,Entre 15 y 20 años,202602,421,394,0,27,7,7,0,0,7
Baja California,subdel,Entre 15 y 20 años,202602,791,720,0,71,57,55,2,0,57
Baja California Sur,subdel,Entre 15 y 20 años,202602,196,181,0,15,19,17,2,0,19
Campeche,subdel,Entre 15 y 20 años,202602,136,129,0,7,4,4,0,0,4
Coahuila de Zaragoza,subdel,Entre 15 y 20 años,202602,807,740,0,67,29,27,2,0,29
Colima,subdel,Entre 15 y 20 años,202602,245,234,0,11,5,5,0,0,5
Chiapas,subdel,Entre 15 y 20 años,202602,453,432,0,21,26,26,0,0,26
Chihuahua,subdel,Entre 15 y 20 años,202602,1283,1143,0,140,61,55,6,0,61
Durango,subdel,Entre 15 y 20 años,202602,493,464,0,29,15,14,1,0,15
Guanajuato,subdel,Entre 15 y 20 años,202602,1373,1291,0,82,31,28,3,0,31
Guerrero,subdel,Entre 15 y 20 años,202602,268,243,0,25,6,6,0,0,6
Hidalgo,subdel,Entre 15 y 20 años,202602,158,149,0,9,6,5,1,0,6
Jalisco,subdel,Entre 15 y 20 años,202602,2790,2574,0,216,122,114,8,0,122
México,subdel,Entre 15 y 20 años,202602,3665,3410,0,255,120,115,5,0,120
Michoacán de Ocampo,subdel,Entre 15 y 20 años,202602,365,350,0,15,13,12,1,0,13
Morelos,subdel,Entre 15 y 20 años,202602,373,347,0,26,12,9,3,0,12
Nayarit,subdel,Entre 15 y 20 años,202602,214,200,0,14,15,15,0,0,15
Nuevo León,subdel,Entre 15 y 20 años,202602,2273,2057,0,216,100,95,5,0,100
Oaxaca,subdel,Entre 15 y 20 años,202602,274,247,0,27,13,12,1,0,13
Puebla,subdel,Entre 15 y 20 años,202602,672,625,0,47,22,22,0,0,22
Querétaro,subdel,Entre 15 y 20 años,202602,470,435,0,35,17,17,0,0,17
Quintana Roo,subdel,Entre 15 y 20 años,202602,614,564,0,50,22,21,1,0,22
San Luis Potosí,subdel,Entre 15 y 20 años,202602,634,572,0,62,20,19,1,0,20
Sinaloa,subdel,Entre 15 y 20 años,202602,836,798,0,38,41,40,1,0,41
Sonora,subdel,Entre 15 y 20 años,202602,634,581,0,53,33,32,1,0,33
Tabasco,subdel,Entre 15 y 20 años,202602,335,308,0,27,9,8,1,0,9
Tamaulipas,subdel,Entre 15 y 20 años,202602,713,655,0,58,57,53,4,0,57
Tlaxcala,subdel,Entre 15 y 20 años,202602,89,88,0,1,2,2,0,0,2
Veracruz,subdel,Entre 15 y 20 años,202602,792,724,0,68,28,28,0,0,28
Yucatán,subdel,Entre 15 y 20 años,202602,389,357,0,32,18,15,3,0,18
Zacatecas,subdel,Entre 15 y 20 años,202602,181,173,0,8,3,3,0,0,3
Extranjero/Extranjera,subdel,Entre 20 y 25 años,202602,1662,1448,0,214,88,81,7,0,88
Aguascalientes,subdel,Entre 20 y 25 años,202602,3102,2832,0,270,108,106,2,0,108
Baja California,subdel,Entre 20 y 25 años,202602,6693,5954,0,739,538,510,28,0,538
Baja California Sur,subdel,Entre 20 y 25 años,202602,1350,1210,0,140,99,97,2,0,99
Campeche,subdel,Entre 20 y 25 años,202602,2084,1914,0,170,72,67,5,0,72
Coahuila de Zaragoza,subdel,Entre 20 y 25 años,202602,5819,5210,0,609,334,319,15,0,334
Colima,subdel,Entre 20 y 25 años,202602,1912,1695,0,217,48,44,4,0,48
Chiapas,subdel,Entre 20 y 25 años,202602,5665,5231,0,434,257,247,10,0,257
Chihuahua,subdel,Entre 20 y 25 años,202602,9765,8116,0,1649,449,431,18,0,449
Durango,subdel,Entre 20 y 25 años,202602,3900,3494,0,406,117,109,8,0,117
Guanajuato,subdel,Entre 20 y 25 años,202602,10431,9602,0,829,289,275,14,0,289
Guerrero,subdel,Entre 20 y 25 años,202602,3130,2771,0,359,137,126,11,0,137
Hidalgo,subdel,Entre 20 y 25 años,202602,1849,1693,0,156,69,68,1,0,69
Jalisco,subdel,Entre 20 y 25 años,202602,20813,18860,0,1953,950,917,33,0,950
México,subdel,Entre 20 y 25 años,202602,36119,32451,0,3668,986,939,47,0,986
