entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,TOTAL
Extranjero/Extranjera,subdel,75 años y más,202603,87,78,9,0,3,3,0,0,3
Aguascalientes,subdel,75 años y más,202603,78,71,7,0,1,1,0,0,1
Baja California,subdel,75 años y más,202603,139,122,17,0,6,6,0,0,6
Baja California Sur,subdel,75 años y más,202603,31,28,3,0,1,0,1,0,1
Campeche,subdel,75 años y más,202603,96,91,5,0,1,1,0,0,1
Coahuila de Zaragoza,subdel,75 años y más,202603,127,118,9,0,5,5,0,0,5
Colima,subdel,75 años y más,202603,45,38,7,0,0,0,0,0,0
Chiapas,subdel,75 años y más,202603,119,112,7,0,4,4,0,0,4
Chihuahua,subdel,75 años y más,202603,203,173,30,0,8,8,0,0,8
Ciudad de México,subdel,75 años y más,202603,1,1,0,0,0,0,0,0,0
Ciudad de México,subdel,75 años y más,202603,3,2,1,0,0,0,0,0,0
Ciudad de México,subdel,75 años y más,202603,1479,1321,158,0,43,40,3,0,43
Durango,subdel,75 años y más,202603,97,80,17,0,2,2,0,0,2
Guanajuato,subdel,75 años y más,202603,288,256,32,0,1,1,0,0,1
Guerrero,subdel,75 años y más,202603,79,67,12,0,3,3,0,0,3
Hidalgo,subdel,75 años y más,202603,73,62,11,0,2,2,0,0,2
Jalisco,subdel,75 años y más,202603,563,509,54,0,19,18,1,0,19
México,subdel,75 años y más,202603,1225,1103,122,0,10,9,1,0,10
Michoacán de Ocampo,subdel,75 años y más,202603,170,152,18,0,4,3,1,0,4
Morelos,subdel,75 años y más,202603,147,127,20,0,0,0,0,0,0
Nayarit,subdel,75 años y más,202603,138,132,6,0,4,4,0,0,4
Nuevo León,subdel,75 años y más,202603,246,217,29,0,14,13,1,0,14
Oaxaca,subdel,75 años y más,202603,121,109,12,0,3,3,0,0,3
Puebla,subdel,75 años y más,202603,280,259,21,0,2,2,0,0,2
Querétaro,subdel,75 años y más,202603,94,90,4,0,1,1,0,0,1
Quintana Roo,subdel,75 años y más,202603,161,141,20,0,0,0,0,0,0
San Luis Potosí,subdel,75 años y más,202603,163,146,17,0,6,6,0,0,6
Sinaloa,subdel,75 años y más,202603,225,211,14,0,2,2,0,0,2
Sonora,subdel,75 años y más,202603,134,118,16,0,5,4,1,0,5
Tabasco,subdel,75 años y más,202603,93,88,5,0,2,2,0,0,2
Tamaulipas,subdel,75 años y más,202603,206,179,27,0,5,4,1,0,5
Tlaxcala,subdel,75 años y más,202603,49,47,2,0,2,2,0,0,2
Veracruz,subdel,75 años y más,202603,247,226,21,0,2,2,0,0,2
Yucatán,subdel,75 años y más,202603,146,138,8,0,2,2,0,0,2
Zacatecas,subdel,75 años y más,202603,67,57,10,0,2,2,0,0,2
Extranjero/Extranjera,subdel,Entre 15 y 20 años,202603,464,405,59,0,14,14,0,0,14
