entidad_nacimiento,Nivel Agregación,Rango_edad_2,fecha,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB,TOTAL
Aguascalientes,subdel,75 años y más,202511,631,583,48,0,16,15,1,0,16
Aguascalientes,subdel,Entre 15 y 20 años,202511,509,458,51,0,18,17,1,0,18
Aguascalientes,subdel,Entre 20 y 25 años,202511,2984,2741,243,0,138,137,1,0,138
Aguascalientes,subdel,Entre 25 y 30 años,202511,3224,2917,307,0,192,186,6,0,192
Aguascalientes,subdel,Entre 30 y 35 años,202511,2831,2542,289,0,225,217,8,0,225
Aguascalientes,subdel,Entre 35 y 40 años,202511,2163,1922,241,0,197,183,14,0,197
Aguascalientes,subdel,Entre 40 y 45 años,202511,1404,1256,148,0,159,149,10,0,159
Aguascalientes,subdel,Entre 45 y 50 años,202511,963,851,112,0,152,143,9,0,152
Aguascalientes,subdel,Entre 50 y 55 años,202511,628,573,55,0,106,103,3,0,106
Aguascalientes,subdel,Entre 55 y 60 años,202511,392,358,34,0,81,80,1,0,81
Aguascalientes,subdel,Entre 60 y 65 años,202511,235,226,9,0,38,37,1,0,38
Aguascalientes,subdel,Entre 65 y 70 años,202511,70,67,3,0,8,8,0,0,8
Aguascalientes,subdel,Entre 70 y 75 años,202511,22,22,0,0,6,6,0,0,6
Baja California,subdel,75 años y más,202511,1101,1003,98,0,57,54,3,0,57
Baja California,subdel,Entre 15 y 20 años,202511,937,847,90,0,55,54,1,0,55
Baja California,subdel,Entre 20 y 25 años,202511,6746,6079,667,0,613,589,24,0,613
Baja California,subdel,Entre 25 y 30 años,202511,7108,6215,893,0,835,776,59,0,835
Baja California,subdel,Entre 30 y 35 años,202511,5714,4889,824,1,710,660,50,0,710
Baja California,subdel,Entre 35 y 40 años,202511,3764,3217,547,0,596,540,56,0,596
Baja California,subdel,Entre 40 y 45 años,202511,2625,2207,418,0,462,421,41,0,462
Baja California,subdel,Entre 45 y 50 años,202511,1823,1545,278,0,346,309,37,0,346
Baja California,subdel,Entre 50 y 55 años,202511,1266,1096,170,0,290,266,24,0,290
Baja California,subdel,Entre 55 y 60 años,202511,566,493,73,0,124,114,10,0,124
Baja California,subdel,Entre 60 y 65 años,202511,242,215,27,0,47,43,4,0,47
Baja California,subdel,Entre 65 y 70 años,202511,83,78,5,0,15,14,1,0,15
Baja California,subdel,Entre 70 y 75 años,202511,22,21,1,0,6,6,0,0,6
Baja California Sur,subdel,75 años y más,202511,323,292,31,0,20,20,0,0,20
