CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Extranjero/Extranjera,202512,75 años y más,,440.88,371,331,40,0,2,2,0,0
7,Transportes y comunicaciones,Aguascalientes,202512,75 años y más,,373.82,476,443,33,0,1,1,0,0
7,Transportes y comunicaciones,Baja California,202512,75 años y más,,302.8966667,895,806,89,0,3,3,0,0
7,Transportes y comunicaciones,Baja California Sur,202512,75 años y más,,,245,226,19,0,0,0,0,0
7,Transportes y comunicaciones,Campeche,202512,75 años y más,,337.89,340,314,26,0,1,1,0,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202512,75 años y más,,349.75,667,605,62,0,7,7,0,0
7,Transportes y comunicaciones,Colima,202512,75 años y más,,327.37,313,277,36,0,3,3,0,0
7,Transportes y comunicaciones,Chiapas,202512,75 años y más,,331.892,821,772,49,0,5,5,0,0
7,Transportes y comunicaciones,Chihuahua,202512,75 años y más,292.54,342.468,1211,1044,167,0,6,5,1,0
7,Transportes y comunicaciones,Durango,202512,75 años y más,,299.7866667,575,524,51,0,3,3,0,0
7,Transportes y comunicaciones,Guanajuato,202512,75 años y más,,346.146,1511,1402,109,0,5,5,0,0
7,Transportes y comunicaciones,Guerrero,202512,75 años y más,,388.59,437,394,43,0,3,3,0,0
7,Transportes y comunicaciones,Hidalgo,202512,75 años y más,,,281,257,24,0,0,0,0,0
7,Transportes y comunicaciones,Jalisco,202512,75 años y más,,352.3235294,3359,3033,326,0,17,17,0,0
7,Transportes y comunicaciones,México,202512,75 años y más,419.84,347.8616667,7052,6397,655,0,13,12,1,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202512,75 años y más,,463.4633333,664,623,41,0,3,3,0,0
7,Transportes y comunicaciones,Morelos,202512,75 años y más,,352.13,809,736,73,0,1,1,0,0
7,Transportes y comunicaciones,Nayarit,202512,75 años y más,,,405,379,26,0,0,0,0,0
7,Transportes y comunicaciones,Nuevo León,202512,75 años y más,300.9,458.57125,1481,1320,161,0,10,8,2,0
7,Transportes y comunicaciones,Oaxaca,202512,75 años y más,,,527,469,58,0,0,0,0,0
7,Transportes y comunicaciones,Puebla,202512,75 años y más,,374.9066667,1352,1255,97,0,3,3,0,0
7,Transportes y comunicaciones,Querétaro,202512,75 años y más,,557.79,479,447,32,0,1,1,0,0
7,Transportes y comunicaciones,Quintana Roo,202512,75 años y más,,366.06,870,785,85,0,1,1,0,0
7,Transportes y comunicaciones,San Luis Potosí,202512,75 años y más,,448.8616667,682,617,65,0,6,6,0,0
7,Transportes y comunicaciones,Sinaloa,202512,75 años y más,,437.81,1089,1019,70,0,1,1,0,0
7,Transportes y comunicaciones,Sonora,202512,75 años y más,,345.17,691,624,67,0,5,5,0,0
7,Transportes y comunicaciones,Tabasco,202512,75 años y más,,,548,498,50,0,0,0,0,0
7,Transportes y comunicaciones,Tamaulipas,202512,75 años y más,341.24,335.4425,1014,895,119,0,5,4,1,0
7,Transportes y comunicaciones,Tlaxcala,202512,75 años y más,,341.875,226,220,6,0,2,2,0,0
7,Transportes y comunicaciones,Veracruz,202512,75 años y más,,372.9833333,1149,1031,118,0,6,6,0,0
7,Transportes y comunicaciones,Yucatán,202512,75 años y más,,316.1133333,680,608,72,0,3,3,0,0
7,Transportes y comunicaciones,Zacatecas,202512,75 años y más,,330.4933333,298,283,15,0,3,3,0,0
7,Transportes y comunicaciones,Ciudad de México,202512,Entre 0 y 5 años,,402.76,0,0,0,0,1,1,0,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202512,Entre 15 y 20 años,,365.372,174,153,21,0,20,20,0,0
7,Transportes y comunicaciones,Aguascalientes,202512,Entre 15 y 20 años,,327.3846154,553,500,53,0,26,26,0,0
7,Transportes y comunicaciones,Baja California,202512,Entre 15 y 20 años,443.3566667,381.4893243,1021,918,103,0,77,74,3,0
7,Transportes y comunicaciones,Baja California Sur,202512,Entre 15 y 20 años,426.535,375.0739286,199,179,20,0,30,28,2,0
7,Transportes y comunicaciones,Campeche,202512,Entre 15 y 20 años,,286.17,186,177,9,0,4,4,0,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202512,Entre 15 y 20 años,314.734,342.138913,988,906,82,0,51,46,5,0
7,Transportes y comunicaciones,Colima,202512,Entre 15 y 20 años,,329.1776923,316,288,28,0,13,13,0,0
7,Transportes y comunicaciones,Chiapas,202512,Entre 15 y 20 años,371.87,383.7961111,518,490,28,0,37,36,1,0
7,Transportes y comunicaciones,Chihuahua,202512,Entre 15 y 20 años,433.0933333,349.9527273,1805,1599,206,0,83,77,6,0
7,Transportes y comunicaciones,Ciudad de México,202512,Entre 15 y 20 años,322.3335,338.0676,3968,3616,352,0,245,225,20,0
7,Transportes y comunicaciones,Durango,202512,Entre 15 y 20 años,465.87,358.6795652,568,533,35,0,24,23,1,0
7,Transportes y comunicaciones,Guanajuato,202512,Entre 15 y 20 años,292.54,323.1998387,1620,1502,118,0,64,62,2,0
7,Transportes y comunicaciones,Guerrero,202512,Entre 15 y 20 años,327.15,365.9445,333,308,25,0,23,20,3,0
7,Transportes y comunicaciones,Hidalgo,202512,Entre 15 y 20 años,,320.6893333,172,164,8,0,15,15,0,0
7,Transportes y comunicaciones,Jalisco,202512,Entre 15 y 20 años,344.9963636,343.430582,3210,2946,264,0,200,189,11,0
7,Transportes y comunicaciones,México,202512,Entre 15 y 20 años,307.968,331.7762736,3938,3654,284,0,222,212,10,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202512,Entre 15 y 20 años,,336.993,456,435,21,0,20,20,0,0
7,Transportes y comunicaciones,Morelos,202512,Entre 15 y 20 años,292.54,316.8022222,517,478,39,0,21,18,3,0
7,Transportes y comunicaciones,Nayarit,202512,Entre 15 y 20 años,406.24,323.4121053,205,191,14,0,20,19,1,0
7,Transportes y comunicaciones,Nuevo León,202512,Entre 15 y 20 años,339.8492857,364.3758088,3043,2784,259,0,150,136,14,0
7,Transportes y comunicaciones,Oaxaca,202512,Entre 15 y 20 años,292.54,341.5706667,339,310,29,0,16,15,1,0
7,Transportes y comunicaciones,Puebla,202512,Entre 15 y 20 años,292.69,313.9691667,757,708,49,0,40,36,4,0
7,Transportes y comunicaciones,Querétaro,202512,Entre 15 y 20 años,,339.7192593,565,527,38,0,27,27,0,0
7,Transportes y comunicaciones,Quintana Roo,202512,Entre 15 y 20 años,290.74,370.5633333,694,652,42,0,28,27,1,0
7,Transportes y comunicaciones,San Luis Potosí,202512,Entre 15 y 20 años,365.165,316.3817143,886,816,70,0,37,35,2,0
7,Transportes y comunicaciones,Sinaloa,202512,Entre 15 y 20 años,300.085,346.4298,1108,1027,81,0,52,50,2,0
7,Transportes y comunicaciones,Sonora,202512,Entre 15 y 20 años,292.785,344.3145763,709,660,49,0,61,59,2,0
7,Transportes y comunicaciones,Tabasco,202512,Entre 15 y 20 años,,394.8842857,512,474,38,0,14,14,0,0
7,Transportes y comunicaciones,Tamaulipas,202512,Entre 15 y 20 años,300.33,405.227,834,761,73,0,63,60,3,0
7,Transportes y comunicaciones,Tlaxcala,202512,Entre 15 y 20 años,,350.2877778,100,100,0,0,9,9,0,0
7,Transportes y comunicaciones,Veracruz,202512,Entre 15 y 20 años,384.56,347.0422034,1087,992,95,0,63,59,4,0
7,Transportes y comunicaciones,Yucatán,202512,Entre 15 y 20 años,289.56,350.8868966,483,438,45,0,30,29,1,0
