CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Extranjero/Extranjera,202601,75 años y más,315.04,460.4605,69,61,8,0,81,80,1,0
7,Transportes y comunicaciones,Aguascalientes,202601,75 años y más,,434.97,0,0,0,0,1,1,0,0
7,Transportes y comunicaciones,Aguascalientes,202601,75 años y más,,379.443589744,71,65,6,0,39,39,0,0
7,Transportes y comunicaciones,Baja California,202601,75 años y más,469.63,382.418333333,0,0,0,0,7,6,1,0
7,Transportes y comunicaciones,Baja California,202601,75 años y más,359.16375,431.010272374,143,125,18,0,265,257,8,0
7,Transportes y comunicaciones,Baja California Sur,202601,75 años y más,,670.87,0,0,0,0,1,1,0,0
7,Transportes y comunicaciones,Baja California Sur,202601,75 años y más,493.4525,438.173,28,28,0,0,34,30,4,0
7,Transportes y comunicaciones,Campeche,202601,75 años y más,,416.205454545,77,69,8,0,22,22,0,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202601,75 años y más,415.58,416.2125,0,0,0,0,5,4,1,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202601,75 años y más,362.135714286,406.788227848,130,118,12,0,165,158,7,0
7,Transportes y comunicaciones,Colima,202601,75 años y más,,328.15,0,0,0,0,2,2,0,0
7,Transportes y comunicaciones,Colima,202601,75 años y más,,426.798260870,56,50,6,0,23,23,0,0
7,Transportes y comunicaciones,Chiapas,202601,75 años y más,503.16,447.472,0,0,0,0,6,5,1,0
7,Transportes y comunicaciones,Chiapas,202601,75 años y más,406.9,419.585714286,136,129,7,0,126,119,7,0
7,Transportes y comunicaciones,Chihuahua,202601,75 años y más,337.92,361.095,0,0,0,0,14,12,2,0
7,Transportes y comunicaciones,Chihuahua,202601,75 años y más,401.296363636,405.873053892,228,183,45,0,178,167,11,0
7,Transportes y comunicaciones,Ciudad de México,202601,75 años y más,,,1,1,0,0,0,0,0,0
7,Transportes y comunicaciones,Ciudad de México,202601,75 años y más,361.41,369.539047619,3,2,1,0,22,21,1,0
7,Transportes y comunicaciones,Ciudad de México,202601,75 años y más,408.368157895,386.082483801,1515,1309,206,0,501,463,38,0
7,Transportes y comunicaciones,Durango,202601,75 años y más,,370.995,0,0,0,0,2,2,0,0
7,Transportes y comunicaciones,Durango,202601,75 años y más,404.042,422.268769231,116,104,12,0,70,65,5,0
7,Transportes y comunicaciones,Guanajuato,202601,75 años y más,,,1,1,0,0,0,0,0,0
7,Transportes y comunicaciones,Guanajuato,202601,75 años y más,401.28,340.9275,0,0,0,0,5,4,1,0
