CVE_DIVISION,División,entidad_nacimiento,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Extranjero/Extranjera,75 años y más,,406.313333333,325,280,45,0,3,3,0,0
7,Transportes y comunicaciones,Aguascalientes,75 años y más,,452.17,359,328,31,0,1,1,0,0
7,Transportes y comunicaciones,Baja California,75 años y más,,423.94,563,494,69,0,1,1,0,0
7,Transportes y comunicaciones,Baja California Sur,75 años y más,,,169,160,9,0,0,0,0,0
7,Transportes y comunicaciones,Campeche,75 años y más,,,325,295,30,0,0,0,0,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,75 años y más,,505.1,426,371,55,0,3,3,0,0
7,Transportes y comunicaciones,Colima,75 años y más,,,246,221,25,0,0,0,0,0
7,Transportes y comunicaciones,Chiapas,75 años y más,,338.82,643,592,51,0,1,1,0,0
7,Transportes y comunicaciones,Chihuahua,75 años y más,,400.61,783,641,142,0,3,3,0,0
7,Transportes y comunicaciones,Ciudad de México,75 años y más,315.04,384.048157895,6162,5388,774,0,41,38,3,0
7,Transportes y comunicaciones,Durango,75 años y más,,461.765,430,373,57,0,2,2,0,0
7,Transportes y comunicaciones,Guanajuato,75 años y más,,435.15,1104,1016,88,0,2,2,0,0
7,Transportes y comunicaciones,Guerrero,75 años y más,,450,366,334,32,0,2,2,0,0
7,Transportes y comunicaciones,Hidalgo,75 años y más,,426.26,206,176,30,0,1,1,0,0
7,Transportes y comunicaciones,Jalisco,75 años y más,,411.765555556,2387,2104,283,0,9,9,0,0
7,Transportes y comunicaciones,México,75 años y más,399.04,383.425,5902,5255,647,0,3,2,1,0
7,Transportes y comunicaciones,Michoacán de Ocampo,75 años y más,,351.61,572,529,43,0,1,1,0,0
7,Transportes y comunicaciones,Morelos,75 años y más,,,655,587,68,0,0,0,0,0
7,Transportes y comunicaciones,Nayarit,75 años y más,,,325,306,19,0,0,0,0,0
7,Transportes y comunicaciones,Nuevo León,75 años y más,428.27,480.91,866,765,101,0,8,7,1,0
7,Transportes y comunicaciones,Oaxaca,75 años y más,,,477,417,60,0,0,0,0,0
7,Transportes y comunicaciones,Puebla,75 años y más,,327.82,1190,1088,102,0,1,1,0,0
7,Transportes y comunicaciones,Querétaro,75 años y más,,315.04,349,332,17,0,1,1,0,0
7,Transportes y comunicaciones,Quintana Roo,75 años y más,,,632,563,69,0,0,0,0,0
7,Transportes y comunicaciones,San Luis Potosí,75 años y más,,501.21,523,459,64,0,5,5,0,0
7,Transportes y comunicaciones,Sinaloa,75 años y más,,402.935,799,730,69,0,2,2,0,0
7,Transportes y comunicaciones,Sonora,75 años y más,,440.935,428,375,53,0,2,2,0,0
7,Transportes y comunicaciones,Tabasco,75 años y más,,,410,365,45,0,0,0,0,0
7,Transportes y comunicaciones,Tamaulipas,75 años y más,,434.716666667,771,660,111,0,3,3,0,0
7,Transportes y comunicaciones,Tlaxcala,75 años y más,,,214,206,8,0,0,0,0,0
7,Transportes y comunicaciones,Veracruz,75 años y más,,,916,827,89,0,0,0,0,0
7,Transportes y comunicaciones,Yucatán,75 años y más,,493.775,560,485,75,0,2,2,0,0
7,Transportes y comunicaciones,Zacatecas,75 años y más,,387.995,220,204,16,0,2,2,0,0
7,Transportes y comunicaciones,Ciudad de México,Entre 0 y 5 años,,526.71,1,1,0,0,1,1,0,0
7,Transportes y comunicaciones,Veracruz,Entre 0 y 5 años,,315.04,0,0,0,0,1,1,0,0
7,Transportes y comunicaciones,Ciudad de México,Entre 10 y 15 años,,,1,1,0,0,0,0,0,0
7,Transportes y comunicaciones,Extranjero/Extranjera,Entre 15 y 20 años,,391.36,204,183,21,0,13,13,0,0
7,Transportes y comunicaciones,Aguascalientes,Entre 15 y 20 años,,425.23,421,394,27,0,7,7,0,0
7,Transportes y comunicaciones,Baja California,Entre 15 y 20 años,506.66,425.434909091,791,720,71,0,57,55,2,0
7,Transportes y comunicaciones,Baja California Sur,Entre 15 y 20 años,599.59,418.143529412,196,181,15,0,19,17,2,0
7,Transportes y comunicaciones,Campeche,Entre 15 y 20 años,,315.04,136,129,7,0,4,4,0,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,Entre 15 y 20 años,613.95,389.287407407,807,740,67,0,29,27,2,0
7,Transportes y comunicaciones,Colima,Entre 15 y 20 años,,347.446,245,234,11,0,5,5,0,0
7,Transportes y comunicaciones,Chiapas,Entre 15 y 20 años,,408.521153846,453,432,21,0,26,26,0,0
7,Transportes y comunicaciones,Chihuahua,Entre 15 y 20 años,545.05,402.554363636,1283,1143,140,0,61,55,6,0
7,Transportes y comunicaciones,Durango,Entre 15 y 20 años,482.23,445.722142857,493,464,29,0,15,14,1,0
7,Transportes y comunicaciones,Guanajuato,Entre 15 y 20 años,348.7,395.450714286,1373,1291,82,0,31,28,3,0
7,Transportes y comunicaciones,Guerrero,Entre 15 y 20 años,,505.765,268,243,25,0,6,6,0,0
7,Transportes y comunicaciones,Hidalgo,Entre 15 y 20 años,346.91,391.342,158,149,9,0,6,5,1,0
7,Transportes y comunicaciones,Jalisco,Entre 15 y 20 años,454.13875,412.421666667,2790,2574,216,0,122,114,8,0
7,Transportes y comunicaciones,México,Entre 15 y 20 años,327.464,384.747391304,3665,3410,255,0,120,115,5,0
7,Transportes y comunicaciones,Michoacán de Ocampo,Entre 15 y 20 años,391.45,372.8675,365,350,15,0,13,12,1,0
7,Transportes y comunicaciones,Morelos,Entre 15 y 20 años,315.04,390.291111111,373,347,26,0,12,9,3,0
