CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Extranjero/Extranjera,202603,75 años y más,,470.21,87,78,9,0,3,3,0,0
7,Transportes y comunicaciones,Aguascalientes,202603,75 años y más,,474.71,78,71,7,0,1,1,0,0
7,Transportes y comunicaciones,Baja California,202603,75 años y más,,372.05,139,122,17,0,6,6,0,0
7,Transportes y comunicaciones,Baja California Sur,202603,75 años y más,383.26,,31,28,3,0,1,0,1,0
7,Transportes y comunicaciones,Campeche,202603,75 años y más,,385.65,96,91,5,0,1,1,0,0
7,Transportes y comunicaciones,Coahuila de Zaragoza,202603,75 años y más,,498.738,127,118,9,0,5,5,0,0
7,Transportes y comunicaciones,Colima,202603,75 años y más,,,45,38,7,0,0,0,0,0
7,Transportes y comunicaciones,Chiapas,202603,75 años y más,,425.5525,119,112,7,0,4,4,0,0
7,Transportes y comunicaciones,Chihuahua,202603,75 años y más,,398.8475,203,173,30,0,8,8,0,0
7,Transportes y comunicaciones,Ciudad de México,202603,75 años y más,,,1,1,0,0,0,0,0,0
7,Transportes y comunicaciones,Ciudad de México,202603,75 años y más,,,3,2,1,0,0,0,0,0
7,Transportes y comunicaciones,Ciudad de México,202603,75 años y más,315.04,407.06375,1479,1321,158,0,43,40,3,0
7,Transportes y comunicaciones,Durango,202603,75 años y más,,428.25,97,80,17,0,2,2,0,0
7,Transportes y comunicaciones,Guanajuato,202603,75 años y más,,406.51,288,256,32,0,1,1,0,0
7,Transportes y comunicaciones,Guerrero,202603,75 años y más,,403.833333333,79,67,12,0,3,3,0,0
7,Transportes y comunicaciones,Hidalgo,202603,75 años y más,,375.78,73,62,11,0,2,2,0,0
7,Transportes y comunicaciones,Jalisco,202603,75 años y más,347.54,409.832222222,563,509,54,0,19,18,1,0
7,Transportes y comunicaciones,México,202603,75 años y más,541.28,406.353333333,1225,1103,122,0,10,9,1,0
7,Transportes y comunicaciones,Michoacán de Ocampo,202603,75 años y más,391.52,442.23,170,152,18,0,4,3,1,0
7,Transportes y comunicaciones,Morelos,202603,75 años y más,,,147,127,20,0,0,0,0,0
7,Transportes y comunicaciones,Nayarit,202603,75 años y más,,402.9575,138,132,6,0,4,4,0,0
7,Transportes y comunicaciones,Nuevo León,202603,75 años y más,448.92,521.243076923,246,217,29,0,14,13,1,0
7,Transportes y comunicaciones,Oaxaca,202603,75 años y más,,356.603333333,121,109,12,0,3,3,0,0
7,Transportes y comunicaciones,Puebla,202603,75 años y más,,326.25,280,259,21,0,2,2,0,0
7,Transportes y comunicaciones,Querétaro,202603,75 años y más,,414.69,94,90,4,0,1,1,0,0
7,Transportes y comunicaciones,Quintana Roo,202603,75 años y más,,,161,141,20,0,0,0,0,0
7,Transportes y comunicaciones,San Luis Potosí,202603,75 años y más,,516.426666667,163,146,17,0,6,6,0,0
7,Transportes y comunicaciones,Sinaloa,202603,75 años y más,,421.505,225,211,14,0,2,2,0,0
7,Transportes y comunicaciones,Sonora,202603,75 años y más,469.68,350.1875,134,118,16,0,5,4,1,0
7,Transportes y comunicaciones,Tabasco,202603,75 años y más,,453.555,93,88,5,0,2,2,0,0
7,Transportes y comunicaciones,Tamaulipas,202603,75 años y más,417.67,457.55,206,179,27,0,5,4,1,0
7,Transportes y comunicaciones,Tlaxcala,202603,75 años y más,,394.995,49,47,2,0,2,2,0,0
7,Transportes y comunicaciones,Veracruz,202603,75 años y más,,367.895,247,226,21,0,2,2,0,0
7,Transportes y comunicaciones,Yucatán,202603,75 años y más,,403.725,146,138,8,0,2,2,0,0
7,Transportes y comunicaciones,Zacatecas,202603,75 años y más,,416.695,67,57,10,0,2,2,0,0
7,Transportes y comunicaciones,Extranjero/Extranjera,202603,Entre 15 y 20 años,,496.040714286,464,405,59,0,14,14,0,0
7,Transportes y comunicaciones,Aguascalientes,202603,Entre 15 y 20 años,,419.155,702,651,51,0,10,10,0,0
7,Transportes y comunicaciones,Baja California,202603,Entre 15 y 20 años,533.305,440.745609756,1287,1156,131,0,45,41,4,0
7,Transportes y comunicaciones,Baja California Sur,202603,Entre 15 y 20 años,587,403.900416667,326,299,27,0,25,24,1,0
7,Transportes y comunicaciones,Campeche,202603,Entre 15 y 20 años,,515.89,362,333,29,0,3,3,0,0
