CVE_DIVISION,División,entidad_nacimiento,fecha,Rango_edad_2,SalarioFem,SalarioMasc,PTPD_Aseg,PTPD_Aseg_H,PTPD_Aseg_M,PTPD_Aseg_NB,PTPD_Puestos,PTPD_Puestos_H,PTPD_Puestos_M,PTPD_Puestos_NB
7,Transportes y comunicaciones,Aguascalientes,202511,75 años y más,295.03,377.241333333,631,583,48,0,16,15,1,0
7,Transportes y comunicaciones,Aguascalientes,202511,Entre 15 y 20 años,278.8,323.001764706,509,458,51,0,18,17,1,0
7,Transportes y comunicaciones,Aguascalientes,202511,Entre 20 y 25 años,278.8,345.380729927,2984,2741,243,0,138,137,1,0
7,Transportes y comunicaciones,Aguascalientes,202511,Entre 25 y 30 años,378.003333333,361.649946237,3224,2917,307,0,192,186,6,0
7,Transportes y comunicaciones,Aguascalientes,202511,Entre 30 y 35 años,326.25125,370.472211982,2831,2542,289,0,225,217,8,0
7,Transportes y comunicaciones,Aguascalientes,202511,Entre 35 y 40 años,322.383571429,379.865628415,2163,1922,241,0,197,183,14,0
7,Transportes y comunicaciones,Aguascalientes,202511,Entre 40 y 45 años,357.119,387.884966443,1404,1256,148,0,159,149,10,0
7,Transportes y comunicaciones,Aguascalientes,202511,Entre 45 y 50 años,316.73,396.092797203,963,851,112,0,152,143,9,0
7,Transportes y comunicaciones,Aguascalientes,202511,Entre 50 y 55 años,354.86,393.045339806,628,573,55,0,106,103,3,0
7,Transportes y comunicaciones,Aguascalientes,202511,Entre 55 y 60 años,278.8,376.62125,392,358,34,0,81,80,1,0
7,Transportes y comunicaciones,Aguascalientes,202511,Entre 60 y 65 años,402.89,394.335675676,235,226,9,0,38,37,1,0
7,Transportes y comunicaciones,Aguascalientes,202511,Entre 65 y 70 años,,398.5775,70,67,3,0,8,8,0,0
7,Transportes y comunicaciones,Aguascalientes,202511,Entre 70 y 75 años,,341.478333333,22,22,0,0,6,6,0,0
7,Transportes y comunicaciones,Baja California,202511,75 años y más,348.746666667,376.041481481,1101,1003,98,0,57,54,3,0
7,Transportes y comunicaciones,Baja California,202511,Entre 15 y 20 años,485.87,375.758888889,937,847,90,0,55,54,1,0
7,Transportes y comunicaciones,Baja California,202511,Entre 20 y 25 años,356.22,387.615280136,6746,6079,667,0,613,589,24,0
7,Transportes y comunicaciones,Baja California,202511,Entre 25 y 30 años,382.686440678,398.394097938,7108,6215,893,0,835,776,59,0
7,Transportes y comunicaciones,Baja California,202511,Entre 30 y 35 años,361.5982,411.621742424,5714,4889,824,1,710,660,50,0
7,Transportes y comunicaciones,Baja California,202511,Entre 35 y 40 años,370.251071429,419.915296296,3764,3217,547,0,596,540,56,0
7,Transportes y comunicaciones,Baja California,202511,Entre 40 y 45 años,380.916829268,415.171068884,2625,2207,418,0,462,421,41,0
7,Transportes y comunicaciones,Baja California,202511,Entre 45 y 50 años,392.012972973,412.255048544,1823,1545,278,0,346,309,37,0
7,Transportes y comunicaciones,Baja California,202511,Entre 50 y 55 años,365.264583333,415.524962406,1266,1096,170,0,290,266,24,0
7,Transportes y comunicaciones,Baja California,202511,Entre 55 y 60 años,381.098,409.438070175,566,493,73,0,124,114,10,0
